,location,date,temp_max,temp_min,temp_mean,precipitation,dew_point_max,dew_point_min,dew_point_mean,max_wind_speed,visibility,sea_level_pressure
37,KSAN,2019-12-03,68,54,61.38,0.0,60,50,53.83,10,10,30.09
38,KSAN,2019-12-04,65,61,62.48,0.06,63,59,60.55,14,10,30.04
39,KSAN,2019-12-05,68,53,60.44,1.13,59,53,56.24,9,10,30.14
40,KSAN,2019-12-06,71,56,62.54,0.0,61,47,54.92,9,10,30.13
41,KSAN,2019-12-07,66,63,64.52,0.02,63,59,61.0,7,10,30.17
42,KSAN,2019-12-08,66,61,63.15,0.13,63,56,60.65,8,10,30.09
43,KSAN,2019-12-09,66,54,60.19,0.06,57,51,54.78,10,10,30.14
44,KSAN,2019-12-10,70,50,58.72,0.0,57,46,52.12,8,10,30.22
45,KSAN,2019-12-11,66,50,58.3,0.0,58,47,53.78,12,10,30.21
46,KSAN,2019-12-12,68,53,58.93,0.0,59,51,54.27,12,10,30.23
47,KSAN,2019-12-13,67,53,58.74,0.0,60,52,55.89,8,10,30.15
48,KSAN,2019-12-14,67,60,62.64,0.0,59,52,55.96,12,10,30.02
49,KSAN,2019-12-15,65,53,60.18,0.0,54,39,46.75,15,10,30.1
50,KSAN,2019-12-16,69,45,57.04,0.0,44,17,32.58,9,10,30.23
51,KSAN,2020-10-27,76,51,63.92,0.0,50,17,30.92,10,10,30.08
52,KSAN,2020-10-28,75,54,64.75,0.0,56,22,41.38,9,10,30.09
53,KSAN,2020-10-29,76,53,65.54,0.0,60,39,50.0,10,10,30.04
54,KSAN,2020-10-30,77,54,65.5,0.0,62,44,53.73,9,10,30.01
55,KSAN,2020-10-31,77,56,63.76,0.0,61,42,55.24,9,10,30.05
56,KSAN,2020-11-01,82,59,67.54,0.0,61,40,51.88,12,10,30.11
57,KSAN,2020-11-02,76,59,64.9,0.0,62,52,58.03,9,10,30.1
58,KSAN,2020-11-03,73,62,65.88,0.0,61,57,59.05,8,10,30.06
59,KSAN,2020-11-04,75,60,64.88,0.0,61,55,58.17,14,10,30.1
60,KSAN,2020-11-05,88,59,71.33,0.0,65,41,51.71,8,10,30.02
61,KSAN,2020-11-06,71,63,67.34,0.0,64,46,59.36,21,10,29.78
62,KSAN,2020-11-07,66,59,62.78,0.0,52,43,47.28,22,10,29.82
63,KSAN,2020-11-09,64,52,57.58,0.14,43,36,40.5,10,10,30.16
64,KSAN,2020-11-10,67,47,57.08,0.0,44,32,39.63,13,10,30.17
65,KSAN,2020-11-11,68,47,57.71,0.0,49,33,41.67,10,10,30.06
66,KSAN,2020-11-12,68,49,58.58,0.0,53,37,44.83,10,10,30.08
67,KSAN,2020-11-13,68,50,59.7,0.0,53,43,49.33,10,10,30.14
68,KSAN,2020-11-14,69,57,62.31,0.0,54,48,50.66,12,10,30.13
69,KSAN,2020-11-15,78,52,65.12,0.0,49,36,41.76,9,10,30.12
70,KSAN,2020-11-16,89,55,66.72,0.0,55,26,43.68,13,10,30.02
71,KSAN,2020-11-17,78,53,63.52,0.0,58,30,48.55,8,10,30.09
72,KSAN,2020-11-18,67,58,61.91,0.0,54,52,52.65,10,10,30.13
73,KSAN,2020-11-19,68,56,60.94,0.0,55,51,53.52,12,10,30.14
74,KSAN,2020-11-20,71,54,59.06,0.0,56,50,52.2,12,10,30.12
75,KSAN,2020-11-21,68,53,58.27,0.0,56,49,52.44,9,10,30.1
76,KSAN,2020-11-22,69,53,58.21,0.0,57,48,53.77,7,10,30.0
77,KSAN,2020-11-23,65,56,60.77,0.0,56,50,52.72,9,10,29.97
78,KSAN,2020-11-24,67,55,60.8,0.0,52,45,48.92,8,10,30.08
79,KSAN,2020-11-25,67,53,60.28,0.0,53,47,50.97,10,10,30.12
80,KSAN,2020-11-26,66,53,59.7,0.0,51,47,49.74,9,10,30.08
81,KSAN,2020-11-27,69,44,56.88,0.0,46,14,34.54,9,10,30.17
82,KSAN,2020-11-28,73,44,57.5,0.0,37,13,27.67,10,10,30.18
83,KSAN,2020-11-29,73,45,57.0,0.0,47,17,31.92,12,10,30.13
84,KSAN,2020-11-30,75,49,58.28,0.0,50,27,37.48,13,10,30.15
85,KSAN,2020-12-01,72,45,58.58,0.0,48,22,35.29,7,10,30.09
86,KSAN,2020-12-02,79,46,61.36,0.0,50,21,31.8,8,10,30.1
87,KSAN,2020-12-03,71,48,58.63,0.0,47,15,28.71,12,10,30.21
88,KSAN,2020-12-04,70,44,55.88,0.0,51,18,31.96,8,10,30.2
89,KSAN,2020-12-05,70,43,55.0,0.0,42,17,30.58,7,10,30.27
90,KSAN,2020-12-06,69,44,54.92,0.0,50,20,34.69,12,10,30.22
91,KSAN,2020-12-07,65,45,56.65,0.0,52,31,41.43,5,10,30.03
92,KSAN,2020-12-08,79,54,64.35,0.0,53,21,39.92,12,10,30.08
93,KSAN,2020-12-09,72,50,59.0,0.0,54,27,43.35,8,10,30.07
94,KSAN,2020-12-10,63,51,58.53,0.0,49,40,45.5,9,10,30.11
95,KSAN,2020-12-11,64,49,57.5,0.0,47,42,45.27,12,10,30.14
96,KSAN,2020-12-12,63,50,56.13,0.0,54,44,47.27,6,10,30.15
97,KSAN,2020-12-13,69,47,57.42,0.0,48,29,42.71,10,10,30.24
98,KSAN,2020-12-14,64,51,56.68,0.0,53,42,47.85,10,10,30.12
99,KSAN,2020-12-15,68,49,57.24,0.03,54,34,44.32,9,10,30.21
100,KSAN,2020-12-16,72,43,56.38,0.0,54,29,39.29,9,10,30.17
101,KSAN,2021-10-27,78,54,65.21,0.0,54,45,49.67,10,10,30.16
102,KSAN,2021-10-28,84,57,69.75,0.0,52,46,49.13,10,10,30.04
103,KSAN,2021-10-29,78,59,67.55,0.0,62,47,56.0,9,10,29.94
104,KSAN,2021-10-30,67,61,63.39,0.0,59,55,55.85,8,10,29.99
105,KSAN,2021-10-31,69,62,64.81,0.0,55,54,54.59,8,10,30.05
106,KSAN,2021-11-01,70,59,64.31,0.0,57,54,55.84,13,10,30.14
107,KSAN,2021-11-02,68,60,64.13,0.0,57,54,55.23,10,10,30.18
108,KSAN,2021-11-03,68,59,62.5,0.0,57,53,55.6,13,10,30.12
109,KSAN,2021-11-04,67,59,62.0,0.0,57,54,55.62,10,6,30.04
110,KSAN,2021-11-05,68,59,61.98,0.0,57,55,55.85,9,7,30.04
111,KSAN,2021-11-06,68,61,63.26,0.0,56,54,54.94,10,10,30.07
112,KSAN,2021-11-07,68,59,62.79,0.0,54,52,53.48,12,10,30.05
113,KSAN,2021-11-08,67,59,63.06,0.0,55,52,53.61,9,10,30.16
114,KSAN,2021-11-09,69,58,63.32,0.0,57,52,53.86,13,10,30.24
115,KSAN,2021-11-10,69,61,65.15,0.0,58,54,55.92,13,10,30.17
116,KSAN,2021-11-11,84,57,70.79,0.0,54,43,48.71,10,10,30.07
117,KSAN,2021-11-12,90,58,72.96,0.0,54,38,43.75,8,10,30.06
118,KSAN,2021-11-13,83,58,70.04,0.0,56,35,45.88,7,10,30.07
119,KSAN,2021-11-14,85,56,68.92,0.0,57,37,44.46,8,10,30.08
120,KSAN,2021-11-15,81,54,63.31,0.0,61,36,53.42,9,10,30.1
121,KSAN,2021-11-16,65,56,60.23,0.0,57,52,54.38,10,10,30.07
122,KSAN,2021-11-17,69,59,63.2,0.0,55,51,53.03,8,10,30.07
123,KSAN,2021-11-18,66,56,60.91,0.0,56,50,53.67,12,9,30.12
124,KSAN,2021-11-19,67,59,62.66,0.0,56,52,54.13,12,10,30.12
125,KSAN,2021-11-20,66,61,62.56,0.0,55,52,53.19,10,10,30.09
126,KSAN,2021-11-21,79,54,64.24,0.0,56,36,49.7,8,10,30.07
127,KSAN,2021-11-22,96,57,67.58,0.0,54,29,36.71,8,10,30.06
128,KSAN,2021-11-23,65,55,61.34,0.0,59,41,52.1,7,10,30.0
129,KSAN,2021-11-24,67,53,60.52,0.0,55,48,52.52,8,10,30.16
130,KSAN,2021-11-25,78,46,63.0,0.0,46,12,24.68,15,10,30.2
131,KSAN,2021-11-26,78,49,60.75,0.0,46,22,32.75,12,10,30.14
132,KSAN,2021-11-27,74,46,59.8,0.0,56,19,39.68,9,10,30.15
133,KSAN,2021-11-28,76,47,58.76,0.0,59,31,45.28,10,10,30.16
134,KSAN,2021-11-29,73,47,58.08,0.0,59,33,51.23,9,10,30.11
135,KSAN,2021-11-30,65,54,56.73,0.0,56,51,53.56,9,9,30.06
136,KSAN,2021-12-01,64,55,57.83,0.0,57,52,55.19,9,6,30.09
137,KSAN,2021-12-02,63,57,58.7,0.0,56,52,53.52,8,10,30.14
138,KSAN,2021-12-03,62,56,58.41,0.0,52,50,51.11,10,10,30.13
139,KSAN,2021-12-04,63,56,58.79,0.0,52,50,51.29,12,10,30.17
140,KSAN,2021-12-05,63,52,58.08,0.0,53,50,51.6,10,9,30.14
141,KSAN,2021-12-06,61,47,55.56,0.0,54,45,51.62,12,10,30.11
142,KSAN,2021-12-07,62,51,59.14,0.0,54,50,51.62,12,10,30.01
143,KSAN,2021-12-08,70,49,56.86,0.0,58,48,52.25,9,10,30.06
144,KSAN,2021-12-09,62,57,59.0,0.0,57,46,54.24,17,10,30.0
145,KSAN,2021-12-10,61,49,54.62,0.11,49,44,46.73,6,10,30.16
146,KSAN,2021-12-11,66,44,54.88,0.0,46,31,38.8,8,10,30.2
147,KSAN,2021-12-12,63,43,53.29,0.0,49,34,41.63,10,10,30.07
148,KSAN,2021-12-13,60,49,55.61,0.0,52,43,46.71,9,10,30.15
149,KSAN,2021-12-14,60,53,57.7,0.0,59,39,52.92,30,10,30.16
150,KSAN,2021-12-15,57,46,51.92,0.98,42,36,39.25,9,10,30.26
151,KSAN,2021-12-16,58,39,51.9,0.0,52,36,44.42,10,10,30.19
152,KSAN,2022-10-27,70,60,64.58,0.0,55,52,53.91,8,10,30.06
153,KSAN,2022-10-28,71,56,63.79,0.0,59,52,55.75,12,10,30.16
154,KSAN,2022-10-29,72,57,63.83,0.0,59,53,56.31,13,10,30.12
155,KSAN,2022-10-30,75,55,64.42,0.0,61,50,55.42,9,10,30.02
156,KSAN,2022-10-31,77,55,64.29,0.0,62,41,54.61,12,10,29.94
157,KSAN,2022-11-01,69,63,65.5,0.0,62,48,55.97,10,10,30.02
158,KSAN,2022-11-02,66,60,62.44,0.0,59,46,52.36,16,10,30.07
159,KSAN,2022-11-03,64,54,60.17,0.07,48,38,41.88,22,10,30.18
160,KSAN,2022-11-04,68,48,58.17,0.0,49,30,40.46,10,10,30.29
161,KSAN,2022-11-05,70,50,59.29,0.0,50,31,42.21,8,10,30.16
162,KSAN,2022-11-06,66,51,60.04,0.0,55,44,50.85,8,10,29.96
163,KSAN,2022-11-07,67,60,63.23,0.0,60,54,57.39,10,10,30.02
164,KSAN,2022-11-08,67,56,62.14,0.1,61,53,58.21,25,10,29.96
165,KSAN,2022-11-09,63,52,58.43,0.85,54,45,48.97,17,10,30.15
166,KSAN,2022-11-10,65,46,55.71,0.05,47,41,44.42,10,10,30.14
167,KSAN,2022-11-11,68,45,56.21,0.0,46,32,40.75,12,10,30.09
168,KSAN,2022-11-12,66,45,56.33,0.0,50,29,42.29,10,10,30.08
169,KSAN,2022-11-13,64,51,56.25,0.0,47,43,45.25,10,10,30.09
170,KSAN,2022-11-14,68,48,57.75,0.0,48,34,43.21,10,10,30.13
171,KSAN,2022-11-15,68,47,57.0,0.0,52,28,43.63,9,10,30.15
172,KSAN,2022-11-16,75,46,58.38,0.0,47,20,39.88,10,10,30.23
173,KSAN,2022-11-17,70,43,57.71,0.0,50,18,36.79,10,10,30.2
174,KSAN,2022-11-18,64,45,55.83,0.0,53,30,44.75,9,10,30.04
175,KSAN,2022-11-19,72,48,56.05,0.0,51,26,44.16,9,10,30.11
176,KSAN,2022-11-20,75,46,59.96,0.0,42,22,32.79,10,10,30.17
177,KSAN,2022-11-21,75,47,59.04,0.0,46,25,34.96,9,10,30.12
178,KSAN,2022-11-22,71,45,57.29,0.0,50,26,37.42,9,10,30.09
179,KSAN,2022-11-23,70,44,55.71,0.0,51,21,38.25,9,10,30.08
180,KSAN,2022-11-24,81,46,62.96,0.0,38,10,24.46,22,10,30.23
181,KSAN,2022-11-25,73,48,59.75,0.0,45,20,32.54,10,10,30.26
182,KSAN,2022-11-26,66,45,57.38,0.0,55,27,42.75,10,10,30.16
183,KSAN,2022-11-27,66,45,57.45,0.0,54,39,49.17,8,10,30.09
184,KSAN,2022-11-28,63,56,59.03,0.0,53,46,49.42,12,10,30.0
185,KSAN,2022-11-29,63,52,59.12,0.0,52,46,49.12,12,10,30.02
186,KSAN,2022-11-30,60,49,55.88,0.0,47,43,44.81,8,10,30.05
187,KSAN,2022-12-01,61,57,59.13,0.0,45,39,43.21,8,10,30.1
188,KSAN,2022-12-02,68,52,59.42,0.0,52,42,46.38,12,10,30.15
189,KSAN,2022-12-03,66,51,57.44,0.0,56,47,51.37,9,10,30.12
190,KSAN,2022-12-04,64,50,58.11,0.0,56,47,53.56,13,10,30.14
191,KSAN,2022-12-05,65,55,59.76,0.0,58,47,52.45,13,10,30.08
192,KSAN,2022-12-06,63,53,57.62,0.01,50,46,47.88,10,10,30.1
193,KSAN,2022-12-07,62,50,55.81,0.0,47,44,45.85,13,10,30.28
194,KSAN,2022-12-08,62,45,53.46,0.0,48,39,43.83,13,10,30.3
195,KSAN,2022-12-09,61,44,52.46,0.0,48,39,43.88,10,10,30.19
196,KSAN,2022-12-10,62,43,53.4,0.0,50,39,45.28,9,10,30.17
197,KSAN,2022-12-11,59,51,55.56,0.0,54,42,48.11,21,10,30.07
198,KSAN,2022-12-12,56,47,50.62,0.47,48,43,44.48,13,10,29.98
199,KSAN,2022-12-13,59,43,51.0,0.45,44,37,41.71,7,10,30.15
200,KSAN,2022-12-14,61,42,51.58,0.0,46,36,41.04,12,10,30.2
201,KSAN,2022-12-15,61,43,52.71,0.0,50,38,44.38,8,10,30.16
202,KSAN,2022-12-16,67,47,55.54,0.0,47,29,39.54,9,10,30.12
203,KSAN,2023-10-27,70,60,64.19,0.0,59,56,57.33,9,10,30.03
204,KSAN,2023-10-28,70,55,63.17,0.0,58,52,55.67,10,10,30.01
205,KSAN,2023-10-29,77,54,65.25,0.0,57,27,46.17,9,10,30.04
206,KSAN,2023-10-30,77,48,62.67,0.0,53,20,33.58,12,10,30.07
207,KSAN,2023-10-31,80,48,63.79,0.0,39,18,29.42,9,10,30.06
208,KSAN,2023-11-01,82,52,64.5,0.0,36,22,27.79,9,10,30.04
209,KSAN,2023-11-02,80,51,64.29,0.0,53,28,37.25,12,10,30.07
210,KSAN,2023-11-03,77,50,62.08,0.0,60,31,44.92,13,10,30.06
211,KSAN,2023-11-04,75,50,61.92,0.0,58,37,47.72,12,10,30.05
212,KSAN,2023-11-05,73,52,61.11,0.0,62,40,54.5,13,10,29.99
213,KSAN,2023-11-06,70,55,59.83,0.0,61,54,57.88,8,10,29.98
214,KSAN,2023-11-07,69,59,64.53,0.0,61,55,58.1,13,10,30.03
215,KSAN,2023-11-08,69,54,62.17,0.0,57,45,52.13,12,10,30.09
216,KSAN,2023-11-09,73,47,60.71,0.0,51,27,39.29,10,10,30.08
217,KSAN,2023-11-10,75,46,59.04,0.0,51,25,38.12,10,10,30.05
218,KSAN,2023-11-11,73,45,59.46,0.0,52,27,37.46,10,10,30.08
219,KSAN,2023-11-12,80,48,63.0,0.0,53,26,37.67,9,10,30.02
220,KSAN,2023-11-13,73,49,60.88,0.0,56,33,42.63,9,10,30.04
221,KSAN,2023-11-14,75,49,61.29,0.0,50,35,41.54,9,10,30.02
222,KSAN,2023-11-15,68,56,61.92,0.0,61,40,53.37,23,10,30.02
223,KSAN,2023-11-16,73,61,64.74,0.15,63,59,61.23,8,10,30.04
224,KSAN,2023-11-17,75,57,64.83,0.0,64,51,59.14,9,10,30.02
225,KSAN,2023-11-18,69,58,63.25,0.0,61,57,59.56,9,10,30.1
226,KSAN,2023-11-19,68,55,63.19,0.0,61,54,58.19,9,10,30.12
227,KSAN,2023-11-20,73,52,61.46,0.0,53,35,47.33,9,10,30.16
228,KSAN,2023-11-21,76,51,62.25,0.0,50,31,40.04,10,10,30.25
229,KSAN,2023-11-22,77,50,63.48,0.0,42,32,37.48,13,10,30.15
230,KSAN,2023-11-23,67,52,61.93,0.0,58,40,51.72,16,10,29.91
231,KSAN,2023-11-24,66,56,62.29,0.0,56,50,53.48,10,10,29.99
232,KSAN,2023-11-25,66,50,58.83,0.01,53,27,47.13,12,10,30.06
233,KSAN,2023-11-26,70,46,57.52,0.0,41,27,34.09,8,10,30.07
234,KSAN,2023-11-27,70,47,58.13,0.0,48,30,37.13,10,10,30.13
235,KSAN,2023-11-28,69,49,58.5,0.0,50,31,41.75,10,10,30.15
236,KSAN,2023-11-29,64,48,58.1,0.0,57,39,49.55,8,10,30.05
237,KSAN,2023-11-30,63,55,59.16,0.0,58,54,55.65,10,10,29.97
238,KSAN,2023-12-01,65,53,58.25,0.08,56,43,50.46,10,10,30.11
239,KSAN,2023-12-02,66,47,55.92,0.0,54,42,46.79,8,10,30.21
240,KSAN,2023-12-03,67,46,56.0,0.0,54,43,48.71,10,10,30.24
241,KSAN,2023-12-04,69,48,57.96,0.0,55,44,49.54,9,10,30.13
242,KSAN,2023-12-05,78,49,62.58,0.0,58,42,48.25,8,10,30.1
243,KSAN,2023-12-06,69,50,59.39,0.0,59,43,54.0,8,10,30.1
244,KSAN,2023-12-07,66,54,58.97,0.0,55,52,53.29,9,10,30.1
245,KSAN,2023-12-08,65,50,57.04,0.0,53,47,50.65,9,10,30.08
246,KSAN,2023-12-09,74,46,58.21,0.0,51,28,40.08,9,10,30.2
247,KSAN,2023-12-10,72,44,57.04,0.0,42,20,28.92,10,10,30.18
248,KSAN,2023-12-11,67,45,57.93,0.0,59,30,47.0,7,10,30.0
249,KSAN,2023-12-12,63,52,58.0,0.0,55,47,51.88,10,10,29.97
250,KSAN,2023-12-13,64,51,57.85,0.0,52,49,50.5,9,10,30.09
251,KSAN,2023-12-14,70,47,57.83,0.0,52,33,42.42,8,10,30.17
252,KSAN,2023-12-15,77,47,59.71,0.0,44,27,34.92,8,10,30.14
253,KSAN,2023-12-16,77,49,59.42,0.0,57,30,37.75,13,10,30.08
254,KSAN,2024-10-27,75,58,64.52,0.0,64,53,59.36,9,10,30.04
255,KSAN,2024-10-28,71,63,66.94,0.0,63,53,58.21,15,10,30.0
256,KSAN,2024-10-29,67,60,64.2,0.0,55,50,52.7,15,10,30.02
257,KSAN,2024-10-30,71,54,62.33,0.0,55,47,51.79,13,10,30.13
258,KSAN,2024-10-31,71,52,61.54,0.0,57,44,51.79,13,10,30.08
259,KSAN,2024-11-01,69,52,60.85,0.0,55,44,51.73,10,10,29.99
260,KSAN,2024-11-02,68,57,62.45,0.0,59,51,54.73,10,10,29.98
261,KSAN,2024-11-03,68,56,62.38,0.1,56,49,53.0,14,10,29.95
262,KSAN,2024-11-04,74,52,62.13,0.0,56,43,47.92,12,10,30.07
263,KSAN,2024-11-05,76,51,62.96,0.0,58,32,45.4,9,10,30.03
264,KSAN,2024-11-06,78,51,63.84,0.0,46,10,31.08,13,10,30.01
265,KSAN,2024-11-07,73,47,60.38,0.0,48,15,31.46,12,10,30.15
266,KSAN,2024-11-08,73,47,60.6,0.0,44,17,31.44,9,10,30.14
267,KSAN,2024-11-09,75,47,60.21,0.0,43,27,33.63,13,10,30.01
268,KSAN,2024-11-10,75,49,59.92,0.0,58,29,43.08,8,10,30.03
269,KSAN,2024-11-11,71,48,59.41,0.0,57,42,50.88,12,10,30.06
270,KSAN,2024-11-12,68,54,62.2,0.0,56,46,52.33,10,10,30.09
271,KSAN,2024-11-13,77,48,61.33,0.0,47,34,40.58,12,10,30.1
272,KSAN,2024-11-14,70,47,60.14,0.0,58,34,47.36,12,10,30.01
273,KSAN,2024-11-15,64,58,61.0,0.0,51,44,47.56,17,10,29.96
274,KSAN,2024-11-16,64,51,57.12,0.0,48,40,44.62,13,10,29.98
275,KSAN,2024-11-17,65,44,54.69,0.0,46,36,40.56,14,10,30.0
276,KSFO,2019-10-27,69,52,62.54,0.0,49,26,36.38,35,10,30.0
277,KSFO,2019-10-28,71,54,60.96,0.0,34,14,23.5,20,10,30.08
278,KSFO,2019-10-29,70,50,57.16,0.0,48,26,37.6,14,10,29.98
279,KSFO,2019-10-30,68,51,58.88,0.0,46,13,24.92,17,10,30.21
280,KSFO,2019-10-31,72,50,59.54,0.0,36,20,29.29,15,10,30.24
281,KSFO,2019-11-01,71,48,58.13,0.0,41,26,33.25,12,10,30.17
282,KSFO,2019-11-02,73,50,59.38,0.0,47,32,38.96,9,10,30.15
283,KSFO,2019-11-03,72,49,58.96,0.0,50,30,41.48,17,10,30.03
284,KSFO,2019-11-04,68,50,55.38,0.0,51,46,47.85,18,10,30.01
285,KSFO,2019-11-05,66,47,54.04,0.0,53,46,48.3,21,10,30.07
286,KSFO,2019-11-06,60,50,53.14,0.0,49,47,48.0,20,10,30.05
287,KSFO,2019-11-07,61,49,53.03,0.0,50,46,48.21,20,10,30.15
288,KSFO,2019-11-08,61,52,54.52,0.0,51,48,49.26,20,8,30.2
289,KSFO,2019-11-09,58,48,52.11,0.0,52,46,48.69,24,10,30.17
290,KSFO,2019-11-10,61,50,53.21,0.0,52,45,48.32,18,10,30.11
291,KSFO,2019-11-11,71,47,57.34,0.0,55,41,48.56,14,10,30.06
292,KSFO,2019-11-12,70,50,57.88,0.0,53,46,49.04,13,10,30.08
293,KSFO,2019-11-13,61,49,54.58,0.0,50,46,48.33,16,10,30.02
294,KSFO,2019-11-14,61,53,57.44,0.0,53,47,49.81,10,10,30.15
295,KSFO,2019-11-15,66,55,58.96,0.0,54,48,51.54,20,10,30.22
296,KSFO,2019-11-16,62,52,54.22,0.0,54,48,51.26,18,10,30.17
297,KSFO,2019-11-17,73,50,60.79,0.0,54,46,49.0,13,10,30.12
298,KSFO,2019-11-18,66,52,58.8,0.0,56,45,51.44,22,10,29.99
299,KSFO,2019-11-19,61,53,57.11,0.0,54,46,50.44,31,10,29.82
300,KSFO,2019-11-20,67,52,58.88,0.0,46,35,41.23,23,10,29.66
301,KSFO,2019-11-21,62,53,57.33,0.0,49,40,44.67,14,10,30.06
302,KSFO,2019-11-22,61,50,54.88,0.0,51,43,46.36,12,10,30.19
303,KSFO,2019-11-23,67,47,56.0,0.0,51,40,45.33,14,10,30.26
304,KSFO,2019-11-24,67,47,54.96,0.0,49,39,44.63,18,10,30.2
305,KSFO,2019-11-25,63,49,54.67,0.0,47,33,41.79,24,10,30.13
306,KSFO,2019-11-26,55,47,50.5,0.0,48,33,40.11,36,10,30.08
307,KSFO,2019-11-27,50,44,46.96,0.97,41,34,38.48,20,10,29.56
308,KSFO,2019-11-28,50,41,45.76,0.17,40,36,37.56,14,10,29.65
309,KSFO,2019-11-29,52,41,46.58,0.0,42,35,38.54,16,10,30.0
310,KSFO,2019-11-30,56,38,48.54,0.05,46,36,41.54,23,10,30.01
311,KSFO,2019-12-01,59,55,56.0,0.1,52,47,49.81,29,10,29.94
312,KSFO,2019-12-02,58,54,55.58,0.29,52,50,51.12,15,10,30.12
313,KSFO,2019-12-03,61,52,55.96,0.16,52,49,50.71,10,10,30.12
314,KSFO,2019-12-04,56,53,54.88,0.34,52,50,50.79,12,10,29.97
315,KSFO,2019-12-05,60,52,55.88,0.01,53,50,51.44,10,10,30.08
316,KSFO,2019-12-06,65,55,57.79,0.0,54,48,51.34,21,10,30.03
317,KSFO,2019-12-07,66,55,60.48,0.53,56,52,54.03,31,10,29.94
318,KSFO,2019-12-08,61,53,56.25,0.52,54,50,51.44,16,10,30.11
319,KSFO,2019-12-09,56,49,53.03,0.02,50,45,48.61,10,10,30.21
320,KSFO,2019-12-10,58,51,54.41,0.0,51,45,48.31,15,10,30.25
321,KSFO,2019-12-11,62,52,55.84,0.21,57,50,52.03,12,10,30.23
322,KSFO,2019-12-12,62,56,59.24,0.06,57,55,55.92,9,10,30.3
323,KSFO,2019-12-13,60,55,56.87,0.0,54,48,52.58,13,10,30.25
324,KSFO,2019-12-14,58,50,54.27,0.01,52,41,45.19,25,10,30.09
325,KSFO,2019-12-15,57,47,51.38,0.02,43,38,40.96,17,10,30.28
326,KSFO,2019-12-16,56,44,49.5,0.0,43,35,38.75,15,10,30.36
327,KSFO,2020-10-27,77,55,65.2,0.0,42,23,33.72,15,10,30.11
328,KSFO,2020-10-28,73,52,61.08,0.0,50,34,41.33,15,10,30.11
329,KSFO,2020-10-29,72,51,59.5,0.0,51,31,41.08,21,10,30.09
